id,en,fr,nl
sentence_18,Where are you?,Tu es où ?,Waar ben je?
sentence_19,I am coming, j'arrive,Ik kom eraan
sentence_20,I am almost there,Je suis presque là,Ik ben er bijna

sentence_21,I live in the Netherlands,J'habite aux Pays-Bas,Ik woon in Nederland
sentence_22,My house is small,Ma maison est petite,Mijn huis is klein
sentence_23,The room is clean,La chambre est propre,De kamer is schoon
sentence_24,The water is hot,L'eau est chaude,Het water is warm
sentence_25,The internet does not work,Internet ne marche pas,Internet werkt niet
sentence_26,I need help,Il me faut de l'aide,Ik heb hulp nodig
sentence_27,Can you help me?,Tu peux m'aider ?,Kan je me helpen?
sentence_28,Wait a moment,Attends un moment,Wacht even
sentence_29,Let's go!,On y va !,Laten we gaan!
sentence_30,I am leaving now,Je pars maintenant,Ik ga nu weg

sentence_31,I don’t know,Je ne sais pas,Ik weet het niet
sentence_32,I don’t understand,Je ne comprends pas,Ik begrijp het niet
sentence_33,Can you repeat?,Tu peux répéter ?,Kan je het herhalen?
sentence_34,Speak slowly please,Parle lentement s'il te plaît,Spreek langzaam alsjeblieft
sentence_35,Do you speak English?,Tu parles anglais ?,Spreek je Engels?
sentence_36,I speak a little French,Je parle un peu français,Ik spreek een beetje Frans
sentence_37,I like this, J'aime ça,Ik vind dit leuk
sentence_38,I don’t like this,Je n'aime pas ça,Ik vind dit niet leuk
sentence_39,That is interesting,C'est intéressant,Dat is interessant
sentence_40,That is funny,C'est drôle,Dat is grappig

sentence_81,Where is the station?,Où est la gare ?,Waar is het station?
sentence_82,Where is the bus stop?,Où est l'arrêt de bus ?,Waar is de bushalte?
sentence_83,I need a ticket,Il me faut un billet,Ik heb een ticket nodig
sentence_84,How much is the ticket?,C'est combien le billet ?,Hoeveel kost het ticket?
sentence_85,Which line is it?,C'est quelle ligne ?,Welke lijn is het?
sentence_86,Where is the center?,Où est le centre ?,Waar is het centrum?
sentence_87,Is it far?,C'est loin ?,Is het ver?
sentence_88,Is it near?,C'est près ?,Is het dichtbij?
sentence_89,Go straight ahead,Allez tout droit,Ga rechtdoor
sentence_90,Turn left,Tournez à gauche,Ga links

sentence_91,Turn right,Tournez à droite,Ga rechts
sentence_92,Stop here,Arrêtez ici,Stop hier
sentence_93,Please take me there,Amenez-moi là-bas s'il vous plaît,Breng me daarheen
sentence_94,I am lost,Je suis perdu,Ik ben verdwaald
sentence_95,I need a taxi,Il me faut un taxi,Ik heb een taxi nodig
sentence_96,The flight is delayed,Le vol est en retard,De vlucht is vertraagd
sentence_97,What time does it leave?,Ça part à quelle heure ?,Hoe laat vertrekt het?
sentence_98,I am checking in,Je m'enregistre,Ik check in
sentence_99,Where is the gate?,Où est la porte ?,Waar is de gate?
sentence_100,Where is my seat?,Où est mon siège ?,Waar is mijn stoel?

sentence_101,I am traveling tomorrow,Je voyage demain,Ik reis morgen
sentence_102,I arrive tonight,J'arrive ce soir,Ik kom vanavond aan
sentence_103,I leave in the morning,Je pars le matin,Ik vertrek in de ochtend
sentence_104,I am staying here,Je reste ici,Ik blijf hier
sentence_105,Can you show me on the map?,Vous pouvez me montrer sur la carte ?,Kunt u het op de kaart tonen?
sentence_106,At what time?,À quelle heure ?,Hoe laat?
sentence_107,Where should I go?,Je dois aller où ?,Waar moet ik heen?
sentence_108,Is there a bus?,Il y a un bus ?,Is er een bus?
sentence_109,When is the next train?,C'est quand le prochain train ?,Wanneer is de volgende trein?
sentence_110,I missed my train,J'ai raté mon train,Ik heb mijn trein gemist

sentence_111,The hotel is full,L'hôtel est complet,Het hotel zit vol
sentence_112,I have a reservation,J'ai une réservation,Ik heb een reservering
sentence_113,For two nights,Pour deux nuits,Voor twee nachten
sentence_114,For two people,Pour deux personnes,Voor twee personen
sentence_115,Where is my room?,Où est ma chambre ?,Waar is mijn kamer?
sentence_116,The key doesn’t work,La clé ne marche pas,De sleutel werkt niet
sentence_117,I need towels,Il me faut des serviettes,Ik heb handdoeken nodig
sentence_118,What time is breakfast?,Le petit-déjeuner est à quelle heure ?,Hoe laat is het ontbijt?
sentence_119,Can I change rooms?,Je peux changer de chambre ?,Kan ik van kamer wisselen?
sentence_120,I am checking out,Je fais le check-out,Ik check uit

sentence_121,What is your name?,Tu t'appelles comment ?,Hoe heet je?
sentence_122,My name is…,Je m'appelle…,Ik heet…
sentence_123,How old are you?,Tu as quel âge ?,Hoe oud ben je?
sentence_124,I am 20 years old,J'ai 20 ans,Ik ben 20 jaar
sentence_125,Where do you live?,Tu habites où ?,Waar woon je?
sentence_126,Where are you from?,Tu viens d'où ?,Waar kom je vandaan?
sentence_127,I am from Nepal,Je viens du Népal,Ik kom uit Nepal
sentence_128,I live with my family,Je vis avec ma famille,Ik woon met mijn familie
sentence_129,I have two sisters,J'ai deux sœurs,Ik heb twee zussen
sentence_130,I don’t have brothers,Je n'ai pas de frères,Ik heb geen broers

sentence_131,I like your style,J'aime ton style,Ik vind je stijl leuk
sentence_132,You are kind,Tu es gentil,Je bent aardig
sentence_133,You are funny,Tu es drôle,Je bent grappig
sentence_134,You are beautiful,Tu es beau / belle,Je bent mooi
sentence_135,You are strong,Tu es fort,Je bent sterk
sentence_136,You are tired,Tu es fatigué,Je bent moe
sentence_137,I am happy today,Je suis heureux aujourd'hui,Ik ben vandaag blij
sentence_138,I am sad today,Je suis triste aujourd'hui,Ik ben vandaag verdrietig
sentence_139,I am stressed,Je suis stressé,Ik ben gestrest
sentence_140,I am excited,Je suis excité,Ik ben enthousiast

sentence_141,I like my friends,J'aime mes amis,Ik hou van mijn vrienden
sentence_142,We are together,Nous sommes ensemble,Wij zijn samen
sentence_143,I miss you,Tu me manques,Ik mis je
sentence_144,See you tomorrow,À demain,Tot morgen
sentence_145,See you soon,À bientôt,Tot snel
sentence_146,Nice to meet you,Enchanté,Aangenaam
sentence_147,Welcome!,Bienvenue !,Welkom!
sentence_148,Come in!,Entrez !,Kom binnen!
sentence_149,Make yourself at home,Fais comme chez toi,Voel je thuis
sentence_150,Good luck!,Bonne chance !,Veel succes!

sentence_161,I am working,Je travaille,Ik ben aan het werk
sentence_162,I have a meeting,J'ai une réunion,Ik heb een vergadering
sentence_163,I need to study,Je dois étudier,Ik moet studeren
sentence_164,I am learning French,J'apprends le français,Ik leer Frans
sentence_165,Can you help me with this?,Tu peux m'aider avec ça ?,Kan je me hiermee helpen?
sentence_166,I don’t have time,Je n'ai pas le temps,Ik heb geen tijd
sentence_167,I have time, J'ai le temps,Ik heb tijd
sentence_168,I am late,Je suis en retard,Ik ben te laat
sentence_169,I am early,Je suis en avance,Ik ben vroeg
sentence_170,Everything is ready,Tout est prêt,Alles is klaar

sentence_171,I need to clean,Je dois nettoyer,Ik moet schoonmaken
sentence_172,I need to cook,Je dois cuisiner,Ik moet koken
sentence_173,I need to wash clothes,Je dois laver les vêtements,Ik moet de was doen
sentence_174,The room is dirty,La chambre est sale,De kamer is vies
sentence_175,The house is clean,La maison est propre,Het huis is schoon
sentence_176,I finished my work,J'ai fini mon travail,Ik heb mijn werk afgemaakt
sentence_177,I am starting now,Je commence maintenant,Ik begin nu
sentence_178,I need a break,J'ai besoin d'une pause,Ik heb een pauze nodig
sentence_179,This is difficult,C'est difficile,Dit is moeilijk
sentence_180,This is easy,C'est facile,Dit is makkelijk

sentence_181,Can I try?,Je peux essayer ?,Mag ik proberen?
sentence_182,I don’t want to do this,Je ne veux pas faire ça,Ik wil dit niet doen
sentence_183,I need to think,Je dois réfléchir,Ik moet nadenken
sentence_184,I forgot, J'ai oublié,Ik ben het vergeten
sentence_185,I remember,Je me souviens,Ik herinner me
sentence_186,I understand,Je comprends,Ik begrijp het
sentence_187,I don’t understand,Je ne comprends pas,Ik begrijp het niet
sentence_188,I will do it later,Je le ferai plus tard,Ik doe het later
sentence_189,I can help you,Je peux t'aider,Ik kan je helpen
sentence_190,I can’t help you,Je ne peux pas t'aider,Ik kan je niet helpen

sentence_191,I hear something,J'entends quelque chose,Ik hoor iets
sentence_192,I see something,Je vois quelque chose,Ik zie iets
sentence_193,It works,Ça marche,Het werkt
sentence_194,It doesn’t work,Ça ne marche pas,Het werkt niet
sentence_195,I need this,Il me faut ça,Ik heb dit nodig
sentence_196,I don’t need this,Je n'ai pas besoin de ça,Ik heb dit niet nodig
sentence_197,Let me see,Laisse-moi voir,Laat me kijken
sentence_198,Let’s try,Essayons,Laten we proberen
sentence_199,I’m almost done,J'ai presque fini,Ik ben bijna klaar
sentence_200,I finished,Fini,Ik ben klaar
